,Country,FLUREGION,ALL_INF,date,year,month,dayofyear,cases,title,season
1375,Australia,Oceania Melanesia Polynesia,0,2005-01-03,2005,1,3,0,0,0
1376,Australia,Oceania Melanesia Polynesia,1,2005-01-03,2005,1,3,1,1,0
1377,Australia,Oceania Melanesia Polynesia,0,2005-01-10,2005,1,10,0,0,0
1378,Australia,Oceania Melanesia Polynesia,0,2005-01-17,2005,1,17,0,0,0
1379,Australia,Oceania Melanesia Polynesia,0,2005-01-24,2005,1,24,0,0,0
1380,Australia,Oceania Melanesia Polynesia,0,2005-01-31,2005,1,31,0,0,0
1381,Australia,Oceania Melanesia Polynesia,1,2005-02-07,2005,2,38,1,1,0
1382,Australia,Oceania Melanesia Polynesia,0,2005-02-14,2005,2,45,0,0,0
1383,Australia,Oceania Melanesia Polynesia,0,2005-02-21,2005,2,52,0,0,0
1384,Australia,Oceania Melanesia Polynesia,1,2005-02-28,2005,2,59,1,1,0
1385,Australia,Oceania Melanesia Polynesia,0,2005-03-07,2005,3,66,0,0,1
1386,Australia,Oceania Melanesia Polynesia,0,2005-03-14,2005,3,73,0,0,1
1387,Australia,Oceania Melanesia Polynesia,0,2005-03-21,2005,3,80,0,0,1
1388,Australia,Oceania Melanesia Polynesia,0,2005-03-28,2005,3,87,0,0,1
1389,Australia,Oceania Melanesia Polynesia,0,2005-04-04,2005,4,94,0,0,1
1390,Australia,Oceania Melanesia Polynesia,0,2005-04-11,2005,4,101,0,0,1
1391,Australia,Oceania Melanesia Polynesia,3,2005-04-18,2005,4,108,3,1,1
1392,Australia,Oceania Melanesia Polynesia,1,2005-04-25,2005,4,115,1,1,1
1393,Australia,Oceania Melanesia Polynesia,3,2005-05-02,2005,5,122,3,1,1
1394,Australia,Oceania Melanesia Polynesia,1,2005-05-09,2005,5,129,1,1,1
1395,Australia,Oceania Melanesia Polynesia,5,2005-05-16,2005,5,136,5,1,1
1396,Australia,Oceania Melanesia Polynesia,5,2005-05-23,2005,5,143,5,1,1
1397,Australia,Oceania Melanesia Polynesia,13,2005-05-30,2005,5,150,13,3,1
1398,Australia,Oceania Melanesia Polynesia,28,2005-06-06,2005,6,157,28,3,2
1399,Australia,Oceania Melanesia Polynesia,19,2005-06-13,2005,6,164,19,3,2
1400,Australia,Oceania Melanesia Polynesia,54,2005-06-20,2005,6,171,54,3,2
1401,Australia,Oceania Melanesia Polynesia,59,2005-06-27,2005,6,178,59,3,2
1402,Australia,Oceania Melanesia Polynesia,81,2005-07-04,2005,7,185,81,3,2
1403,Australia,Oceania Melanesia Polynesia,53,2005-07-11,2005,7,192,53,3,2
1404,Australia,Oceania Melanesia Polynesia,68,2005-07-18,2005,7,199,68,3,2
1405,Australia,Oceania Melanesia Polynesia,68,2005-07-25,2005,7,206,68,3,2
1406,Australia,Oceania Melanesia Polynesia,43,2005-08-01,2005,8,213,43,3,2
1407,Australia,Oceania Melanesia Polynesia,40,2005-08-08,2005,8,220,40,3,2
1408,Australia,Oceania Melanesia Polynesia,30,2005-08-15,2005,8,227,30,3,2
1409,Australia,Oceania Melanesia Polynesia,35,2005-08-22,2005,8,234,35,3,2
1410,Australia,Oceania Melanesia Polynesia,38,2005-08-29,2005,8,241,38,3,2
1411,Australia,Oceania Melanesia Polynesia,22,2005-09-05,2005,9,248,22,1,3
1412,Australia,Oceania Melanesia Polynesia,12,2005-09-12,2005,9,255,12,1,3
1413,Australia,Oceania Melanesia Polynesia,7,2005-09-19,2005,9,262,7,1,3
1414,Australia,Oceania Melanesia Polynesia,6,2005-09-26,2005,9,269,6,1,3
1415,Australia,Oceania Melanesia Polynesia,5,2005-10-03,2005,10,276,5,1,3
1416,Australia,Oceania Melanesia Polynesia,3,2005-10-10,2005,10,283,3,1,3
1417,Australia,Oceania Melanesia Polynesia,1,2005-10-17,2005,10,290,1,1,3
1418,Australia,Oceania Melanesia Polynesia,3,2005-10-24,2005,10,297,3,1,3
1419,Australia,Oceania Melanesia Polynesia,1,2005-10-31,2005,10,304,1,1,3
1420,Australia,Oceania Melanesia Polynesia,1,2005-11-07,2005,11,311,1,1,3
1421,Australia,Oceania Melanesia Polynesia,1,2005-11-14,2005,11,318,1,1,3
1422,Australia,Oceania Melanesia Polynesia,0,2006-01-02,2006,1,2,0,0,0
1423,Australia,Oceania Melanesia Polynesia,0,2006-01-09,2006,1,9,0,0,0
1424,Australia,Oceania Melanesia Polynesia,1,2006-01-16,2006,1,16,1,1,0
1425,Australia,Oceania Melanesia Polynesia,1,2006-01-23,2006,1,23,1,1,0
1426,Australia,Oceania Melanesia Polynesia,0,2006-01-30,2006,1,30,0,0,0
1427,Australia,Oceania Melanesia Polynesia,0,2006-02-06,2006,2,37,0,0,0
1428,Australia,Oceania Melanesia Polynesia,0,2006-02-13,2006,2,44,0,0,0
