,Date,Location,MinTemp,MaxTemp
64191,2009-01-01,MelbourneAirport,11.2,19.9
64192,2009-01-02,MelbourneAirport,7.8,17.8
64193,2009-01-03,MelbourneAirport,6.3,21.1
64194,2009-01-04,MelbourneAirport,8.1,29.2
64195,2009-01-05,MelbourneAirport,9.7,29.0
64196,2009-01-06,MelbourneAirport,13.5,31.7
64197,2009-01-07,MelbourneAirport,15.8,21.4
64198,2009-01-08,MelbourneAirport,9.7,18.4
64199,2009-01-09,MelbourneAirport,10.2,19.7
64200,2009-01-10,MelbourneAirport,10.7,23.6
64201,2009-01-11,MelbourneAirport,10.7,23.5
64202,2009-01-12,MelbourneAirport,10.4,25.1
64203,2009-01-13,MelbourneAirport,11.5,37.1
64204,2009-01-14,MelbourneAirport,24.9,33.5
64205,2009-01-15,MelbourneAirport,13.8,23.1
64206,2009-01-16,MelbourneAirport,12.7,21.6
64207,2009-01-17,MelbourneAirport,12.5,19.8
64208,2009-01-18,MelbourneAirport,7.5,26.3
64209,2009-01-19,MelbourneAirport,11.9,37.0
64210,2009-01-20,MelbourneAirport,18.4,40.2
64211,2009-01-21,MelbourneAirport,12.8,28.8
64212,2009-01-22,MelbourneAirport,15.1,35.6
64213,2009-01-23,MelbourneAirport,9.8,32.3
64214,2009-01-24,MelbourneAirport,15.3,24.2
64215,2009-01-25,MelbourneAirport,9.2,29.0
64216,2009-01-26,MelbourneAirport,11.4,24.8
64217,2009-01-27,MelbourneAirport,14.9,36.0
64218,2009-01-28,MelbourneAirport,16.6,43.1
64219,2009-01-29,MelbourneAirport,30.5,44.2
64220,2009-01-30,MelbourneAirport,23.9,44.2
64221,2009-01-31,MelbourneAirport,19.6,31.6
64222,2009-02-01,MelbourneAirport,18.1,34.1
64223,2009-02-02,MelbourneAirport,18.7,28.8
64224,2009-02-03,MelbourneAirport,18.8,28.7
64225,2009-02-04,MelbourneAirport,17.9,31.6
64226,2009-02-05,MelbourneAirport,17.0,32.2
64227,2009-02-06,MelbourneAirport,17.6,33.5
64228,2009-02-07,MelbourneAirport,18.8,46.8
64229,2009-02-08,MelbourneAirport,16.9,20.9
64230,2009-02-09,MelbourneAirport,14.3,20.3
64231,2009-02-10,MelbourneAirport,11.5,19.7
64232,2009-02-11,MelbourneAirport,11.6,17.7
64233,2009-02-12,MelbourneAirport,12.9,22.9
64234,2009-02-13,MelbourneAirport,6.9,26.4
64235,2009-02-14,MelbourneAirport,10.5,27.3
64236,2009-02-15,MelbourneAirport,11.8,27.5
64237,2009-02-16,MelbourneAirport,13.2,29.0
64238,2009-02-17,MelbourneAirport,13.0,31.2
64239,2009-02-18,MelbourneAirport,13.7,30.0
64240,2009-02-19,MelbourneAirport,13.7,30.4
64241,2009-02-20,MelbourneAirport,15.9,25.9
64242,2009-02-21,MelbourneAirport,14.3,22.9
64243,2009-02-22,MelbourneAirport,16.1,26.4
64244,2009-02-23,MelbourneAirport,13.4,35.0
64245,2009-02-24,MelbourneAirport,9.5,20.4
64246,2009-02-25,MelbourneAirport,12.1,21.7
64247,2009-02-26,MelbourneAirport,12.7,30.6
64248,2009-02-27,MelbourneAirport,14.6,35.5
64249,2009-02-28,MelbourneAirport,14.2,22.7
64250,2009-03-01,MelbourneAirport,12.4,19.9
64251,2009-03-02,MelbourneAirport,13.8,26.5
64252,2009-03-03,MelbourneAirport,15.7,32.4
64253,2009-03-04,MelbourneAirport,11.4,18.6
64254,2009-03-05,MelbourneAirport,11.3,16.1
64255,2009-03-06,MelbourneAirport,10.7,20.0
64256,2009-03-07,MelbourneAirport,11.7,21.0
64257,2009-03-08,MelbourneAirport,12.5,19.9
64258,2009-03-09,MelbourneAirport,8.9,25.5
64259,2009-03-10,MelbourneAirport,13.5,27.2
64260,2009-03-11,MelbourneAirport,15.1,30.3
64261,2009-03-12,MelbourneAirport,17.3,23.8
64262,2009-03-13,MelbourneAirport,16.2,29.6
64263,2009-03-14,MelbourneAirport,16.7,21.2
64264,2009-03-15,MelbourneAirport,10.5,19.0
64265,2009-03-16,MelbourneAirport,11.4,20.7
64266,2009-03-17,MelbourneAirport,12.3,18.8
64267,2009-03-18,MelbourneAirport,12.3,28.5
64268,2009-03-19,MelbourneAirport,13.9,32.7
64269,2009-03-20,MelbourneAirport,15.4,25.1
